Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"A1","Waveshare_Core52840","Waveshare_Core52840",144.272000,-112.014000,180.000000,top
"C1","1u","C_0603_1608Metric",113.411000,-99.047000,270.000000,top
"C2","1u","C_0603_1608Metric",111.011000,-96.647000,180.000000,top
"C3","4u7","C_0603_1608Metric",125.463000,-119.634000,0.000000,top
"C4","4u7","C_0603_1608Metric",111.011000,-94.742000,180.000000,top
"C5","100n","C_0402_1005Metric",150.368000,-102.362000,180.000000,top
"C6","1u","C_0402_1005Metric",117.094000,-94.488000,180.000000,top
"C7","1u","C_0402_1005Metric",135.890000,-89.154000,180.000000,top
"C8","1u","C_0402_1005Metric",117.094000,-93.218000,180.000000,top
"C9","1u","C_0402_1005Metric",140.998000,-89.154000,180.000000,top
"C10","1u","C_0402_1005Metric",117.094000,-91.948000,180.000000,top
"C11","1u","C_0402_1005Metric",117.094000,-90.678000,180.000000,top
"C12","1u","C_0402_1005Metric",147.828000,-89.154000,180.000000,top
"C13","1u","C_0402_1005Metric",117.094000,-89.408000,180.000000,top
"C14","100n","C_0402_1005Metric",151.130000,-89.154000,180.000000,top
"D4","Status0","LED_0805_2012Metric",140.335000,-97.917000,270.000000,top
"D5","Status0","LED_0805_2012Metric",142.621000,-97.917000,270.000000,top
"FB1","100R","L_0805_2012Metric",121.920000,-119.888000,270.000000,top
"FB2","100R","L_0805_2012Metric",113.411000,-102.514500,270.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",108.966000,-115.824000,270.000000,top
"R1","5.1k","R_0402_1005Metric",115.062000,-109.982000,0.000000,top
"R2","5.1k","R_0402_1005Metric",118.618000,-120.142000,0.000000,top
"R3","10k","R_0402_1005Metric",186.690000,-102.870000,180.000000,top
"R4","10k","R_0402_1005Metric",186.690000,-100.330000,180.000000,top
"R5","10k","R_0402_1005Metric",134.112000,-115.824000,90.000000,top
"R6","10k","R_0402_1005Metric",150.368000,-98.552000,270.000000,top
"R7","10k","R_0402_1005Metric",148.844000,-98.552000,270.000000,top
"R8","100k","R_0402_1005Metric",147.320000,-98.552000,270.000000,top
"R9","10k","R_0402_1005Metric",160.022000,-115.316000,0.000000,top
"R10","10k","R_0402_1005Metric",156.972000,-115.316000,0.000000,top
"R11","20k","R_0402_1005Metric",140.335000,-100.709000,270.000000,top
"R12","20k","R_0402_1005Metric",142.621000,-100.709000,270.000000,top
"U3","XC6206P332MR","SOT-23",110.871000,-99.187000,270.000000,top
